respondent_id,resp_gender,region,resp_age,education,polid_numeric,party_preference,prez_vote,alt_dv_realestate,alt_dv_foreign_policy,alt_dv_nuclear_policy,alt_dv_labor_policy,alt_dv_social_policy,manipulation_check1,age_attribute,origin,gender_attribute,career,scandal,labor_policy,housing_policy,social_policy,foreign_policy,nuclear_policy,question_profile,chosen,open_text_reason
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,55,Busan,Female,Diplomat,None,National job guarantee,Increase real estate taxes,Oppose anti-discrimination law,Economic cooperation with North Korea,No deployment of nuclear weapons,1.1,0,
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,40,Gwangju,Male,Prosecutor,Son's military service,Harmony in labor-management relations,Ease real estate tax burden,Expedited enactment of anti-discrimination law,Economic cooperation with North Korea,Pursue independent nuclear armament,1.2,1,
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,70,Seoul,Female,Businessperson,None,Harmony in labor-management relations,Ease real estate tax burden,Expedited enactment of anti-discrimination law,Emphasize US-South Korea alliance,National interests reflected,2.1,1,
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,40,Seoul,Female,Businessperson,None,Harmony in labor-management relations,Overhaul real estate policy,Prioritize social harmony,Emphasize US-South Korea alliance,National interests reflected,2.2,0,
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,70,Seoul,Male,Diplomat,Son's military service,Implement 4.5-day workweek,Expansion of public housing,Expedited enactment of anti-discrimination law,Diplomacy centered on national interests,Pursue independent nuclear armament,3.1,0,
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,40,Busan,Male,Diplomat,None,Implement 4.5-day workweek,Ease real estate tax burden,Oppose anti-discrimination law,Economic cooperation with North Korea,National interests reflected,3.2,1,
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,70,Seoul,Male,Businessperson,Bribery allegations,Implement 4.5-day workweek,Increase real estate taxes,Expedited enactment of anti-discrimination law,Emphasize US-South Korea alliance,National interests reflected,4.1,1,
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,40,Gwangju,Male,Civil Rights Activist,Son's military service,National job guarantee,Increase real estate taxes,Expedited enactment of anti-discrimination law,Emphasize US-South Korea alliance,National interests reflected,4.2,0,
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,40,Seoul,Female,Civil Rights Activist,Son's military service,National job guarantee,Overhaul real estate policy,Prioritize social harmony,Economic cooperation with North Korea,No deployment of nuclear weapons,5.1,0,
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,40,Seoul,Male,Businessperson,Ancestors pro-Japanese,Implement 4.5-day workweek,Overhaul real estate policy,Prioritize social harmony,Economic cooperation with North Korea,Deploy tactical nukes and US sharing,5.2,1,
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,70,Busan,Female,Civil Rights Activist,None,Harmony in labor-management relations,Overhaul real estate policy,Prioritize social harmony,Diplomacy centered on national interests,National interests reflected,6.1,1,
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,55,Seoul,Female,Diplomat,Bribery allegations,Flexibility in working hours,Increase real estate taxes,Expedited enactment of anti-discrimination law,Emphasize US-South Korea alliance,Pursue independent nuclear armament,6.2,0,부동산 세금부담 완화
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,55,Gwangju,Male,Prosecutor,Bribery allegations,Harmony in labor-management relations,Overhaul real estate policy,Expedited enactment of anti-discrimination law,Emphasize US-South Korea alliance,Deploy tactical nukes and US sharing,7.1,1,
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,40,Seoul,Male,Civil Rights Activist,None,Harmony in labor-management relations,Increase real estate taxes,Prioritize social harmony,Balanced diplomacy between US and China,Deploy tactical nukes and US sharing,7.2,0,
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,40,Seoul,Female,Civil Rights Activist,None,Implement 4.5-day workweek,Overhaul real estate policy,Prioritize social harmony,Emphasize US-South Korea alliance,Pursue independent nuclear armament,8.1,1,
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,40,Busan,Female,Businessperson,None,Flexibility in working hours,Overhaul real estate policy,Social consensus before law,Emphasize US-South Korea alliance,National interests reflected,8.2,0,
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,70,Gwangju,Female,Businessperson,Son's military service,National job guarantee,Overhaul real estate policy,Oppose anti-discrimination law,Diplomacy centered on national interests,Pursue independent nuclear armament,9.1,0,
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,70,Gwangju,Male,Diplomat,Bribery allegations,Flexibility in working hours,Ease real estate tax burden,Social consensus before law,Economic cooperation with North Korea,No deployment of nuclear weapons,9.2,1,
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,55,Seoul,Male,Prosecutor,Bribery allegations,Implement 4.5-day workweek,Ease real estate tax burden,Expedited enactment of anti-discrimination law,Economic cooperation with North Korea,No deployment of nuclear weapons,10.1,0,
R_1sEBkyUYM8rVGNj,Female,Chungcheong-Honam,64,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative,55,Gwangju,Female,Diplomat,Bribery allegations,Harmony in labor-management relations,Ease real estate tax burden,Social consensus before law,Economic cooperation with North Korea,No deployment of nuclear weapons,10.2,1,
R_3IdeDku05Wiau8Z,Female,Chungcheong-Honam,22,University,5,Other,Did not vote,Stronger real estate taxation,Early restart of economic cooperation with North Korea,Reflect national interest in nuclear policy,Promote harmony in labor relations,Prioritize social harmony,Progressive,55,Busan,Female,Diplomat,Son's military service,Harmony in labor-management relations,Overhaul real estate policy,Expedited enactment of anti-discrimination law,Diplomacy centered on national interests,Pursue independent nuclear armament,1.1,1,
