respondent_id,resp_gender,region,resp_age,education,polid_numeric,party_preference,prez_vote,alt_dv_realestate,alt_dv_foreign_policy,alt_dv_nuclear_policy,alt_dv_labor_policy,alt_dv_social_policy,manipulation_check1
R_4ANUbio9X2Llw77,Male,Capital Area,54,University,6,People Power Party,Yoon Suk-yeol,Major expansion of public housing,Pursue diplomacy based on national interest,Reflect national interest in nuclear policy,Phase in 4.5-day workweek,Consensus before anti-discrimination law,Conservative
R_4Aj6HZZJeKRPKEx,Male,Capital Area,37,University,5,Democratic Party,Lee Jae-myung,Major expansion of public housing,Emphasize ROK-US alliance,Oppose nuclear weapons deployment,Phase in 4.5-day workweek,Quick enactment of anti-discrimination law,Progressive
R_4uW7kWvrWbzvxBL,Male,Capital Area,42,University,5,Other,Lee Jae-myung,Reduced real estate tax burden,Pursue diplomacy based on national interest,Independent nuclear armament,Phase in 4.5-day workweek,Consensus before anti-discrimination law,Progressive
R_4akPKaLPXwR7elK,Female,Yeongnam,40,Junior college,5,Other,Did not vote,Stronger real estate taxation,Emphasize ROK-US alliance,US tactical nukes and nuclear sharing if needed,Phase in 4.5-day workweek,Prioritize social harmony,Other
R_4mwnDqrvMkE3K9j,Male,Capital Area,46,University,3,Democratic Party,Yoon Suk-yeol,Stronger real estate taxation,Pursue diplomacy based on national interest,Independent nuclear armament,Phase in 4.5-day workweek,Quick enactment of anti-discrimination law,Progressive
R_4coHYl1LLktDos1,Male,Capital Area,59,High school,3,Democratic Party,Lee Jae-myung,Reform of real estate policy,Early restart of economic cooperation with North Korea,Reflect national interest in nuclear policy,Phase in 4.5-day workweek,Oppose comprehensive anti-discrimination law,Progressive
R_4bVHzBcpj0ZLYch,Female,Capital Area,45,University,5,Other,Did not vote,Major expansion of public housing,Pursue diplomacy based on national interest,Oppose nuclear weapons deployment,Promote harmony in labor relations,Consensus before anti-discrimination law,Other
R_42K2FdicrYtheVS,Male,Chungcheong-Honam,37,University,6,Other,다른 후보,Reduced real estate tax burden,Early restart of economic cooperation with North Korea,Reflect national interest in nuclear policy,Phase in 4.5-day workweek,Prioritize social harmony,Conservative
R_4IlFpC7UO6rphLP,Male,Capital Area,52,Graduate school,6,Democratic Party,Lee Jae-myung,Reform of real estate policy,Balanced diplomacy between US and China,Independent nuclear armament,Implement universal job guarantee,Consensus before anti-discrimination law,Other
R_4TTOGLRx3U3ezoB,Male,Capital Area,53,University,6,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Quick enactment of anti-discrimination law,Conservative
R_4J7ORglin78e0aB,Male,Capital Area,56,University,5,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Implement universal job guarantee,Consensus before anti-discrimination law,Conservative
R_4WSxHCjBxvN85sn,Female,Capital Area,26,University,6,Democratic Party,다른 후보,Major expansion of public housing,Balanced diplomacy between US and China,Reflect national interest in nuclear policy,Phase in 4.5-day workweek,Oppose comprehensive anti-discrimination law,Progressive
R_4IPYn7l8KHThGwh,Male,Capital Area,61,High school,3,Democratic Party,Lee Jae-myung,Major expansion of public housing,Early restart of economic cooperation with North Korea,Reflect national interest in nuclear policy,Promote harmony in labor relations,Quick enactment of anti-discrimination law,Progressive
R_4R9J9QL9q2k1fNl,Female,Capital Area,30,University,2,Democratic Party,Lee Jae-myung,Major expansion of public housing,Pursue diplomacy based on national interest,Reflect national interest in nuclear policy,Phase in 4.5-day workweek,Consensus before anti-discrimination law,Progressive
R_44PxjPW0RdLDPCF,Male,Yeongnam,55,Graduate school,5,Democratic Party,심상정,Major expansion of public housing,Pursue diplomacy based on national interest,Reflect national interest in nuclear policy,Promote harmony in labor relations,Prioritize social harmony,Progressive
R_4i41dMuqneqTQkz,Male,Yeongnam,48,University,5,People Power Party,Yoon Suk-yeol,Major expansion of public housing,Emphasize ROK-US alliance,US tactical nukes and nuclear sharing if needed,Implement universal job guarantee,Prioritize social harmony,Conservative
R_4nOYpHc5vO2A5ei,Female,Capital Area,26,Junior college,5,Other,Did not vote,Reduced real estate tax burden,Balanced diplomacy between US and China,US tactical nukes and nuclear sharing if needed,Phase in 4.5-day workweek,Prioritize social harmony,Other
R_4zcDzPKV6j6qpF0,Female,Capital Area,35,Graduate school,4,Democratic Party,Lee Jae-myung,Major expansion of public housing,Pursue diplomacy based on national interest,Independent nuclear armament,Implement universal job guarantee,Consensus before anti-discrimination law,Progressive
R_4asK4ZXzmsSYh2J,Female,Chungcheong-Honam,68,University,4,Democratic Party,Lee Jae-myung,Stronger real estate taxation,Pursue diplomacy based on national interest,Oppose nuclear weapons deployment,Implement universal job guarantee,Prioritize social harmony,Progressive
R_4Cwj25nbYek8xb7,Female,Capital Area,42,High school,5,Democratic Party,Lee Jae-myung,Reform of real estate policy,Balanced diplomacy between US and China,Oppose nuclear weapons deployment,Implement universal job guarantee,Prioritize social harmony,Progressive
R_40BHiXzQYav6HdL,Male,Capital Area,41,Junior college,6,Other,다른 후보,Reform of real estate policy,Emphasize ROK-US alliance,Oppose nuclear weapons deployment,Implement universal job guarantee,Oppose comprehensive anti-discrimination law,Other
R_4Tv2ld5T6mqAjmy,Male,Capital Area,68,Graduate school,7,People Power Party,Yoon Suk-yeol,Major expansion of public housing,Pursue diplomacy based on national interest,US tactical nukes and nuclear sharing if needed,Promote harmony in labor relations,Prioritize social harmony,Conservative
R_4Mm7beXEwoVquR8,Female,Capital Area,37,University,5,People Power Party,Yoon Suk-yeol,Reform of real estate policy,Pursue diplomacy based on national interest,Reflect national interest in nuclear policy,Promote harmony in labor relations,Oppose comprehensive anti-discrimination law,Conservative
R_4kOAvxEs6k9nbz3,Male,Yeongnam,57,University,6,People Power Party,Yoon Suk-yeol,Reform of real estate policy,Emphasize ROK-US alliance,US tactical nukes and nuclear sharing if needed,Phase in 4.5-day workweek,Prioritize social harmony,Conservative
R_4oyyJuGj9jWmA05,Female,Capital Area,32,University,5,Other,심상정,Major expansion of public housing,Pursue diplomacy based on national interest,US tactical nukes and nuclear sharing if needed,Promote harmony in labor relations,Prioritize social harmony,Progressive
R_4gM7Q1UQK2MrDgh,Male,Capital Area,67,University,6,People Power Party,Yoon Suk-yeol,Major expansion of public housing,Pursue diplomacy based on national interest,Independent nuclear armament,Implement universal job guarantee,Quick enactment of anti-discrimination law,Conservative
R_4rMO6Aoo7MxFjD2,Male,Yeongnam,71,High school,8,People Power Party,Yoon Suk-yeol,Stronger real estate taxation,Pursue diplomacy based on national interest,Independent nuclear armament,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative
R_42IViC7XwoMDd4d,Male,Capital Area,60,Graduate school,5,Other,다른 후보,Reform of real estate policy,Balanced diplomacy between US and China,Independent nuclear armament,Flexible work hours,Prioritize social harmony,Other
R_4PUC9egZYLrzqv5,Male,Capital Area,60,University,3,Other,Yoon Suk-yeol,Major expansion of public housing,Early restart of economic cooperation with North Korea,Independent nuclear armament,Flexible work hours,Oppose comprehensive anti-discrimination law,Progressive
R_4fvoorRlcunlQrb,Male,Capital Area,70,University,6,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,Independent nuclear armament,Promote harmony in labor relations,Quick enactment of anti-discrimination law,Conservative
R_4s76ZEoInkstSCZ,Male,Capital Area,58,University,7,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Emphasize ROK-US alliance,US tactical nukes and nuclear sharing if needed,Flexible work hours,Oppose comprehensive anti-discrimination law,Conservative
R_4LUWl6leBkhIzey,Male,Capital Area,72,University,5,Other,Yoon Suk-yeol,Reduced real estate tax burden,Pursue diplomacy based on national interest,Reflect national interest in nuclear policy,Promote harmony in labor relations,Prioritize social harmony,Other
R_4MAv6MALwpJ46z9,Male,Capital Area,55,University,5,Other,심상정,Reform of real estate policy,Pursue diplomacy based on national interest,Reflect national interest in nuclear policy,Promote harmony in labor relations,Prioritize social harmony,Progressive
R_4uUU1v12rTljm31,Male,Capital Area,63,University,7,People Power Party,Yoon Suk-yeol,Reform of real estate policy,Emphasize ROK-US alliance,US tactical nukes and nuclear sharing if needed,Flexible work hours,Consensus before anti-discrimination law,Conservative
R_4fH7AT1uqgIxoGN,Male,Capital Area,62,University,5,People Power Party,Yoon Suk-yeol,Reform of real estate policy,Emphasize ROK-US alliance,Reflect national interest in nuclear policy,Flexible work hours,Consensus before anti-discrimination law,Conservative
R_4EhYvrud8xRm2P7,Male,Capital Area,44,University,10,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Pursue diplomacy based on national interest,Reflect national interest in nuclear policy,Implement universal job guarantee,Consensus before anti-discrimination law,Conservative
R_4k6dUkh9NN7iOIT,Male,Yeongnam,61,University,7,People Power Party,Yoon Suk-yeol,Reduced real estate tax burden,Pursue diplomacy based on national interest,US tactical nukes and nuclear sharing if needed,Promote harmony in labor relations,Consensus before anti-discrimination law,Conservative
R_4j3xVSAdczFP4dQ,Male,Capital Area,60,University,5,Democratic Party,Lee Jae-myung,Reform of real estate policy,Balanced diplomacy between US and China,US tactical nukes and nuclear sharing if needed,Promote harmony in labor relations,Oppose comprehensive anti-discrimination law,Progressive
R_44oR8ImRliH4DuT,Male,Capital Area,67,University,5,Democratic Party,Lee Jae-myung,Reform of real estate policy,Pursue diplomacy based on national interest,Reflect national interest in nuclear policy,Promote harmony in labor relations,Prioritize social harmony,Other
R_4O6sLzTcWqO8QUP,Male,Capital Area,57,Graduate school,5,People Power Party,Yoon Suk-yeol,Stronger real estate taxation,Early restart of economic cooperation with North Korea,Reflect national interest in nuclear policy,Promote harmony in labor relations,Prioritize social harmony,Conservative
R_4GwdCsFP10wgBtY,Male,Capital Area,56,University,4,Green Justice Party,심상정,Major expansion of public housing,Balanced diplomacy between US and China,Oppose nuclear weapons deployment,Phase in 4.5-day workweek,Quick enactment of anti-discrimination law,Progressive
R_4GDOdXuT4lrkIVs,Male,Capital Area,68,University,4,Other,Lee Jae-myung,Major expansion of public housing,Pursue diplomacy based on national interest,Independent nuclear armament,Implement universal job guarantee,Oppose comprehensive anti-discrimination law,Other
R_4FW3WlFFbJnJoQj,Male,Capital Area,64,Graduate school,5,Other,심상정,Reduced real estate tax burden,Balanced diplomacy between US and China,Independent nuclear armament,Phase in 4.5-day workweek,Oppose comprehensive anti-discrimination law,Conservative
R_4gYR59gsynOkeOm,Male,Capital Area,73,High school,5,People Power Party,Yoon Suk-yeol,Major expansion of public housing,Balanced diplomacy between US and China,Independent nuclear armament,Implement universal job guarantee,Quick enactment of anti-discrimination law,Conservative
R_4npVZXfEImzQ0CH,Male,Capital Area,67,Graduate school,9,People Power Party,Yoon Suk-yeol,Major expansion of public housing,Emphasize ROK-US alliance,US tactical nukes and nuclear sharing if needed,Flexible work hours,Consensus before anti-discrimination law,Conservative
R_4ndx0nt6SZUTkM2,Male,Capital Area,72,University,9,People Power Party,Yoon Suk-yeol,Reform of real estate policy,Pursue diplomacy based on national interest,US tactical nukes and nuclear sharing if needed,Flexible work hours,Oppose comprehensive anti-discrimination law,Conservative
R_4PtyAaDI1o4W8YF,Male,Capital Area,62,Graduate school,5,Other,다른 후보,Major expansion of public housing,Pursue diplomacy based on national interest,US tactical nukes and nuclear sharing if needed,Implement universal job guarantee,Consensus before anti-discrimination law,Progressive
